idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7323,2001-11-07 20:30:00,1744870825552.0,0.0,1667967641867.8835,1657952169352.5803,1672901071075.8247,1695830356272.0
7324,2001-11-07 20:40:00,1734905572352.0,0.0,1699478817291.5908,1696955755754.2495,1728287421637.4075,1744870825552.0
7325,2001-11-07 20:50:00,1857362374712.0,0.0,1699683600400.5496,1693363496161.6182,1713400441285.1301,1734905572352.0
7326,2001-11-07 21:00:00,1709129043648.0,0.0,1782206219819.6562,1779737106616.082,1838948523545.513,1857362374712.0
7327,2001-11-07 21:10:00,1588990829256.0,0.0,1700038092061.2207,1688024036245.086,1677344177041.6865,1709129043648.0
7328,2001-11-07 21:20:00,1508879401160.0,0.0,1618789299152.39,1615826704412.6052,1577678554720.3083,1588990829256.0
7329,2001-11-07 21:30:00,1624515531888.0,0.0,1556692132772.645,1558434887446.0059,1515430416112.4714,1508879401160.0
7330,2001-11-07 21:40:00,1737842390352.0,0.0,1617449123496.9004,1624463489772.196,1639758803246.9272,1624515531888.0
7331,2001-11-07 21:50:00,1780260784808.0,0.0,1692385486504.4185,1692660180461.8994,1735983584020.2441,1737842390352.0
7332,2001-11-07 22:00:00,1541770262352.0,0.0,1732051983426.4675,1727621517976.607,1765697582295.2593,1780260784808.0
7333,2001-11-07 22:10:00,1538498165208.0,0.0,1589133779821.9858,1579934520468.0625,1524463384345.3535,1541770262352.0
7334,2001-11-07 22:20:00,1476504876312.0,0.0,1571045006704.3062,1576778008292.5469,1549807659075.4492,1538498165208.0
7335,2001-11-07 22:30:00,1384884100096.0,0.0,1525056861931.2732,1527568480744.461,1490675819545.0098,1476504876312.0
7336,2001-11-07 22:40:00,1502754306896.0,0.0,1457258299477.9937,1461818169682.4863,1406100969043.618,1384884100096.0
7337,2001-11-07 22:50:00,1515481126728.0,0.0,1520027405918.3252,1530823583038.7078,1534436321805.0046,1502754306896.0
7338,2001-11-07 23:00:00,1586334062632.0,0.0,1530130689279.3018,1532560942246.8623,1531992558636.9895,1515481126728.0
7339,2001-11-07 23:10:00,1581901707856.0,0.0,1574004395819.4702,1577305008063.6199,1596206103876.1753,1586334062632.0
7340,2001-11-07 23:20:00,1457518809016.0,0.0,1577332710929.1145,1576212778503.316,1582462424036.5688,1581901707856.0
7341,2001-11-07 23:30:00,1491216865472.0,0.0,1500977111555.165,1499097542307.998,1459528182632.1355,1457518809016.0
7342,2001-11-07 23:40:00,1406353421752.0,0.0,1513836675284.246,1520158283241.4436,1509150665416.954,1491216865472.0
7343,2001-11-07 23:50:00,1017545068824.0,0.0,1457733455339.919,1459178986705.665,1420344151195.5642,1406353421752.0
7344,2001-11-08 00:00:00,1451686160928.0,0.0,1202641944896.9736,1203805164680.209,1046260758067.6445,1017545068824.0
7345,2001-11-08 00:10:00,1393061059872.0,0.0,1439377034457.5818,1468831618200.213,1520532188574.643,1451686160928.0
7346,2001-11-08 00:20:00,1383923407168.0,0.0,1420109001897.164,1417428002809.02,1409561614572.734,1393061059872.0
7347,2001-11-08 00:30:00,1505514453888.0,0.0,1415795086734.436,1421012945266.4734,1404376369774.3513,1383923407168.0
7348,2001-11-08 00:40:00,1364007007600.0,0.0,1492545874254.9507,1498877291679.9902,1525567814449.622,1505514453888.0
7349,2001-11-08 00:50:00,1277393749488.0,0.0,1412355871471.564,1409366767779.0984,1371433117637.8555,1364007007600.0
7350,2001-11-08 01:00:00,1061492316200.0,0.0,1347611893748.822,1352901759226.7305,1300439797493.516,1277393749488.0
7351,2001-11-08 01:10:00,1078010251096.0,0.0,1198313115787.552,1203801441049.4172,1097514016648.0292,1061492316200.0
7352,2001-11-08 01:20:00,1030657616880.0,0.0,1181793161047.7852,1198931920203.6172,1137344539654.453,1078010251096.0
7353,2001-11-08 01:30:00,880506716584.0,0.0,1137627915648.3188,1149636004476.9749,1086100300941.7771,1030657616880.0
7354,2001-11-08 01:40:00,821563201216.0,0.0,1026771911156.8424,1038404378812.9022,938243080706.1337,880506716584.0
7355,2001-11-08 01:50:00,753694816592.0,0.0,964569629068.214,982293595322.5745,891903481155.7358,821563201216.0
7356,2001-11-08 02:00:00,722188984296.0,0.0,901705997189.333,919012167921.2886,827365075418.5686,753694816592.0
7357,2001-11-08 02:10:00,706432726680.0,0.0,862683899785.6327,881535047623.2286,799009459803.4785,722188984296.0
7358,2001-11-08 02:20:00,657099492888.0,0.0,838017485134.5842,856509791495.3047,783461716415.1901,706432726680.0
7359,2001-11-08 02:30:00,711923572872.0,0.0,793996229896.1836,811037046081.9878,731737370061.4072,657099492888.0
7360,2001-11-08 02:40:00,788006274856.0,0.0,814698585411.4808,834028246799.3425,786694465702.6344,711923572872.0
7361,2001-11-08 02:50:00,775291451720.0,0.0,858343797451.0648,873799814892.3335,851143802206.3044,788006274856.0
