idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7358,2001-11-08 02:20:00,657099492888.0,237946296031.0625,772433022438.6018,785986041562.8064,714304552953.686,686640542870.7745
7359,2001-11-08 02:30:00,711923572872.0,211419966392.375,720061576153.0042,731300896883.0222,662299723714.397,630573163249.3196
7360,2001-11-08 02:40:00,788006274856.0,193884256067.3125,745344479332.4387,758737991766.5786,702781325707.9043,694387862546.9111
7361,2001-11-08 02:50:00,775291451720.0,176945445480.75,788972652572.92,797737027638.6365,761893241619.9774,771067464269.4182
7362,2001-11-08 03:00:00,693096082576.0,154071779888.25,776422171469.7097,780094784194.621,750644916537.2372,752417786127.518
7363,2001-11-08 03:10:00,627348390552.0,134803898727.3125,722406268997.6979,725920165446.7031,689032146394.0669,673828201415.0677
7364,2001-11-08 03:20:00,630935164440.0,115184048113.9375,667128906323.642,673134078375.4623,630315171507.7427,607728539938.6459
7365,2001-11-08 03:30:00,559571403752.0,98865549207.375,659287839725.1519,667633689788.5607,626907499360.7802,614616665533.467
7366,2001-11-08 03:40:00,671406051216.0,87098235293.875,611031808150.7487,616532959239.3469,572477915586.0173,547804089838.5292
7367,2001-11-08 03:50:00,859328228408.0,80525529223.5625,675552450320.4681,685976731911.5916,656108749693.8103,664833345145.6743
7368,2001-11-08 04:00:00,765644317840.0,83178332892.5,809244374714.2332,814123561132.291,816437790631.3158,861981032076.9252
7369,2001-11-08 04:10:00,787874217696.0,78693175589.125,764629477388.4391,758060877628.562,756306257507.1853,761159160536.6458
7370,2001-11-08 04:20:00,799206434464.0,77169037827.375,780372287348.8046,782184478695.6865,775068800369.6835,786350079934.281
7371,2001-11-08 04:30:00,800347779528.0,77848857563.5625,793232873638.8324,792869338222.011,788810930148.4236,799886254200.2031
7372,2001-11-08 04:40:00,873947372952.0,81747802320.625,800679186273.2449,800116419530.8163,795847993990.1979,804246724285.0745
7373,2001-11-08 04:50:00,668790305904.0,84279414575.875,849795424187.667,850652851346.1305,853647562478.0819,876478985207.2288
7374,2001-11-08 05:00:00,807170009360.0,82385853814.625,721920218771.3646,715542699516.858,698553166809.779,666896745142.762
7375,2001-11-08 05:10:00,673583290184.0,82981841908.5625,796129320678.4391,805087743540.5558,793231540122.8646,807765997453.9454
7376,2001-11-08 05:20:00,701524801264.0,80151361988.4375,713502741421.48,709543769630.7523,693559879924.4564,670752810263.8489
7377,2001-11-08 05:30:00,690026594368.0,80494489302.0625,724596040032.5603,730834920198.2899,708697453495.9103,701867928577.6366
7378,2001-11-08 05:40:00,746093489240.0,81491934012.8125,716275733445.5375,718675692749.2681,699740065988.6063,691024039078.7786
7379,2001-11-08 05:50:00,747456355168.0,73201527755.3125,739606874742.2576,743807486051.6957,732153746311.6112,737803082982.5135
7380,2001-11-08 06:00:00,600489777248.0,69643629093.5,743069020683.4556,743339239892.6838,739673205480.887,743898456506.1926
7381,2001-11-08 06:10:00,723787413528.0,59088632076.625,643218349011.4688,641370132577.011,620660317435.89,589934780231.1233
7382,2001-11-08 06:20:00,727206221456.0,52998592147.0,709822457086.2516,718540728958.4166,706828807368.4741,717697373598.349
7383,2001-11-08 06:30:00,720459596304.0,37123742189.1875,705771032101.8527,704708735328.9044,705063482289.399,711331371498.1926
7384,2001-11-08 06:40:00,742294763456.0,30146026590.0625,708997161246.4895,709189398442.0894,707997477658.9958,713481880704.8481
